Klinikname,Gesamtzufriedenheit,Erfahrungsbericht
MediClin Seepark Klinik,2,"Hatte mir mehr versprochen  Die Organisation lief oft sehr schief. Man bekam nicht bescheid wenn etwas ausfiel. Weshalb man gern mal vor verschlossenen Therapie Räumen stand.  Die Gruppentherapien konnten , wenn sie sehr aufwühlend waren, nur schwer bis gar nicht von der Therapeutin abgefangen werden . Die Therapeuten sind streckenweise noch sehr jung und arbeiten bereits neue junge therapeuten ein. Die Einzeltherapien fanden nur einmal pro Woche statt und das auch nur 30minuten. Schade. Vieles wird aufgewühlt und dann so stehen gelassen. Mit meiner Essstörung muss ich aber ein grosses Danke an die Ernährungstherapeuten aussprechen. Offen e und ehrliche Worte haben mir sehr geholfen. Die Schwestern der MZ haben vieles abgefangen und das mit viel Verständniss. Alles in allem geht es mir in manchen Dingen besser aber leider wurde vieles angefangen an Themen die ich jetzt weiter beaebeiten muss ohne zu wissen wie da mir in vielen Dingen einfach kein Weg aufgezeigt wurde. Mein Termin bei der sozialarbeiterin fiel leider mehrfach aus und am ende hiess es i muss mich selber kümmern."
MediClin Seepark Klinik,0,"Es war die absolute Hölle!  Die Therapeuten kannten die ihnen zugewiesenen Patienten überhaupt nicht (Massenabfertigung).  Wünsche, was besprochen werden soll wurden nicht berücksichtigt. Es wurde eine Baustelle nach der anderen aufgemacht ohne Ansatz einer Therapie.  Der Speisesaal war die Hölle. Viel zu voll und viel zu laut. Das Essen war eine Zumutung.  Nach der Reha war ich kränker als davor und musste in die Psychiatrie weil gar nichts mehr ging.  Die Ärzte in Bad Bodenteich sprechen anscheinend nicht miteinander. Ich habe versucht falsch laufende Sachen in meiner Therapie zu klären. Ich wurde abgewiegelt, nicht ernst genommen. Uns wurde gesagt, dass wir die Reha nicht abbrechen dürfen, da uns dann Nachteile bei der RV entstehen. Das ist absoluter Blödsinn!!!  Ich wurde von der Klinik in die Wiedereingliederung gedrängt obwohl ich den Ärzten und dem Sozialdienst sagte, dass ich definitiv noch nicht arbeiten kann. Es war ihnen egal. Ich als Patient war ihnen scheiß egal! In diese Klinik bekommt mich niemand mehr."
MediClin Seepark Klinik,0,"Als grundpositiv eingestellter Mensch wollte ich mich von den vielen negativen Bewertungen nicht beeinflussen lassen.  Meine eigenen Erfahrungen vor ca. 7 Monaten haben aber wenig positives unter dem Strich gebracht. Für Akutpatienten mag die Klinik geeignet sein, für Rehapatienten mit Magen-Operation war die Begleitung lausig. Es gab bei der Ernährungsberatung, der Gruppenbegleitung, Physios, Rezeption und Med. Zentrale gute Mitarbeiter*innen.  Jedoch im Bereich der medizinischen bzw. psychologischen Betreuung hatten die negativen Erfahrungen starken Überhang. Unfähig mit einer selbständig denkenden Patientin umzugehen und sich durch Vorschlag die Reha abzubrechen aus der Situation zu ziehen war das Ergebnis. Der Abschlussbericht entsprach nicht der Realität.  Insgesamt betrachtet kann ich -auch nach längerer Überlegung- diese Klinik nicht empfehlen. Es sei denn man ist ein Mensch, der zu Beginn der Reha seinen Verstand und klare Vorstellung einer Reha und eigene Ziele am Eingang abgibt.  SEHR SCHADE DIE 3 VON 5 VORGESEHENEN WOCHEN WAREN ZEIT- UND RESSOURCENVERSCHWENDUNG INKL. VIEL ÄRGER MIT DER KLINIKLEITUNG UND FRUST ÜBER VERSCHWENDETE ZEIT. Cl. A."
MediClin Seepark Klinik,2,"Ich war für ca 5 Monate in der Klinik gewesen. ( Erwachsenenbereich )  Zum Teil hat sie mir geholfen, was das Zunehmen betrifft aber alles andere leider nicht. Viele Regeln hatte man nicht verstanden die einfach keinen Sinn ergaben wie z.B man darf kein Gemüse aufs Brot tun, sein Müsli nicht mit einem kleinen Löffel essen oder das Brot darf man nicht vierteln.  Oft kamen immer die typischen Sätze der Diätis „ ich habe keine Zeit“ wo man sich dann oft hilflos und verzweifelt gefühlt hat. Man hat vieles immer nur auf die Essstörung geschoben.  Manche Schwestern ( so sollte man die Mitarbeiter hier nennen ) waren nett und man konnte auch die ein oder anderen guten Gespräche führen aber der Großteil war einfach der Horror.  Man wurde nicht wie ein Mensch behandelt sondern nur wie die pure Krankheit die in einem steckt, was ich sehr schade fand. Den Chefarzt konnte man nicht ernst nehmen und er kam nie wirklich zum Punkt.  Mein Therapeut allerdings war wirklich super und mit ihm hatte ich richtiges Glück gehabt.  Was das Essen betrifft, das war eig fast immer lecker gewesen und es gab eine gute Auswahl.  Was das körperliche / das Zunehmen betrifft ist es inordnung aber alles andere leider nicht und kann daher diese Klinik nicht wirklich weiter empfehlen.  Auf das wichtigste, die Psyche wird nicht wirklich drauf eingegangen und das steht komplett im Hintergrund.  Es gibt deutlich bessere Kliniken mit besseren Konzepten.  Natürlich muss sich jeder ein eigenes Bild machen und seine Erfahrungen sammeln. Das ist nur meine eigene und persönliche Meinung und Erfahrungen.  Ich könnte noch so viel mehr schreiben aber das würde den Rahmen hier sprengen."
MediClin Seepark Klinik,4,"Als ich in die Klinik ankam, wurde ich freundlich begrüßt. Leider wurde mir nicht erklärt, was es zu beachten gilt. So habe ich alles Stück für Stück erfahren.   Im Großen und Ganzen hat mir der Klinikaufenthalt sehr gefallen. Er war allerdings zu kurz, um sagen zu können, dass eine Besserung eingetreten ist. Leider eher im Gegenteil. Gut war, dass die Diätis einen sehr direkten Umgang mit der Essstörung haben, das habe ich an gewissen Punkten auch mal gebraucht. Allerdings gefallen mir die Wiegerunden überhaupt nicht, da man dort das Verhalten der anderen nach eigener Auffassung darstellt. Dies wurde leider oft dafür genutzt, um sich zu rechtfertigen oder sich besser darzustellen als andere. Ich hatte das Gefühl, dass einige Patienten dort in gegenseitiger Konkurrenz standen (Erwachsenenbereich). Ich war in einer sehr aufgeschlossenen freundlichen Gruppe, mit einer sehr offenen Therapeutin (Fr. L), die kein Blatt vor dem Mund nimmt. Im persönlichen Gespräch mit ihr, wurde sie mir gegenüber sehr destruktiv, sodass ich Zweifel hatte, ob ich dort überhaupt an der richtigen Stelle bin. Sie hatte mir durch ihre Kommentare den Eindruck vermittelt, ich wäre dort am falschen Platz und ich wäre nicht anorektisch genug. Ich habe dort gelernt meine Essstörung bewusster wahrzunehmen, dies geschah größtenteils aus Gesprächen mit anderen Patienten. Die Einzeltherapiestunden waren nicht sehr erfolgsversprechend. Ich war leider nicht in so vielen anderen Therapiegruppen, da vieles ausgefallen ist. Es drehte sich daher auch alles nur um das Essen und nicht auf die anderen sehr wichtigen Aspekte der Anorexie. Ich hatte in der Klinik immer den Kampf, dass ich als Person wahrgenommen werden wollte. Leider werden dort sehr viele Verhaltensweisen nur auf die Essstörung bezogen. Ich würde mir wünschen, wenn man die Patienten dort ernster nehmen würde und auch auf sie eingegangen wird. Gerade was Fr. L betrifft. Fr. L ist innovativ und kompetent. Sie ist sehr hilfsbereit."
MediClin Seepark Klinik,0,"Eine sehr slechte Klinik die mich wenig gutes gebracht hat. Die Klinik macht Werbung das sie spezialisiert sind in Psychosomatik und vorallem Depressionen, Burnout aber leider war davon wenig bis nichts zu merken währends meinen Aufenthalt Ende 2020. Die Therapeuten sind gerade aus dem Teenage-Alter heraus und sind ihre Aufgaben nicht gewachsen. Der seelische Schütt und Schmerz werden aufgewühlt und dann wird mann damit alleine gelassen ohne Hilfe. Die Psychologin war total überfördert mit ihre Aufgaben genau wie die Ergotherapeutin die gerne über ihre Lieblingsserie Gossip Girl geredet hat. Für die Nachsorge nach der Kur Aufenthalt soll mann sich alleine drum kummern. Der Ober-Arzt konnte kein Kritik ab und ist sehr schnell auf sein Schlipps getreten und die Organisation zwischen alle Abteilungen ist ein grosses Chaos. Der eine weiss nicht was der andere macht. Ein richtiger Schmerztherapeuten gibt es auch nicht. Die ganze Klinik ist auf Zugluft weil die ganze Zeit und überall geluftet wird wegen Corona also zieht euch dick an wenn im Fitnesssaal oder essen geht in den Speisesaal. Abhänglich von welcher Koch gerade am Herd steht schmeckt das Essen oder nicht. Die Klinik ist eine reine Abspeck-Anorexia-Klinik und alles ist darauf gerichtet Gewicht zu reduzieren oder zu zu nehmen mit seeliche Problematik sollte mann hier nicht hingehen ddas sind für mich keine Profi´s sondern Amateure. Alles gibt mir das Gefuehl mann sein nur eine Nummer und Hauptsache das Geld stimmt. Ich habe viele andere Patienten gesprochen und die wenigstens davon waren positiv. Ich werde dies bezüglich meine Rentenversicherung melden."
MediClin Seepark Klinik,0,"Diese Bewertung bezieht sich auf die Akutstation; Bereich Essstörung.   Meines Erachtens nach ist die Behandlung auf stark anorektische Patientinnen ausgelegt. Hierauf hätte ich vorher selber kommen können, da die Klinik KEINEN Mindest-BMI hat. Für Patienten die schon ""etwas weiter"" in puncto Essstörung sind, halte ich das Konzept für zu starr. 6 Mahlzeiten am Tag sind Pflicht. Einige ""Komponenten"" sind gesetzt wie beispielsweise ein Sahnejoghurt zur Zwischenmahlzeit. An sich finde ich dies gut, allerdings erlaubt das Konzept kaum Alternativen. Ob man es mag oder nicht, es muss gegessen werden. Alternativ erhält man zu 21:00 Uhr eins Trinknahrung, um nicht gegessene Kalorien auszugleichen.     Die Abläufe in der Verwaltung sind katastrophal. Zunächst wartete ich ewig und dann kam ich ohne mein Gepäck auf ein Zimmer. Wo mein Gepäck ist konnte mir niemand beantworten. Aufgrund der Corona-Situation sollte ich hier erstmal bleiben.   Besonders erschreckend fand ich den ""Aufnahmearzt"", der mich sprachlich leider nicht verstand. Gerade im Erstkontakt hat dies sehr abschreckend auf mich gewirkt. Insbesondere als er mir nach 5 Minuten verkündete, dass ich einen Vertrag zur Nicht-Nutzung des eigenen PKWs unterschreiben sollte. Dieser sei obligatorisch - aber ich müsse diesen jetzt unterschreiben?!!  Als ich dann auf Station war, waren alle überfordert. Einen Psychologen oder Arzt sah ich in der ersten Woche nicht.   Da mir auch keiner die extrem strengen Regeln zu den Mahlzeiten erklärt hatte, verhielt ich mich nicht erwartungsgemäß. Salat (z.B. Gurke) darf man nicht auf das Brot legen. Warum dies nicht in Ordnung ist, wurde mich nicht erklärt. Der Großteil der Patienten motze und beschwerte sich den halben Tag. Hier stehen eindeutig Essen und Symptomatik und nicht die Hintergründe im Vordergrund.   Für mich kein Ort des Genesung. Im Akutbereich gibt es als Kassenpatient nur Doppelzimmer. Diese sind sehr klein."
MediClin Seepark Klinik,4,"Ich war selbst mehrfach im Akutbereich der SPK und befand jeden Aufenthalt als weiterbringend und erfolgreich. Erst im letzten Aufenthalt wurde klar wieso ich immer wieder rückfällig wurde und die Erfolge aus den Aufenthalten nicht halten konnte.  Die Diätis sind top, die Schwestern (bis auf ein paar Ausnahmen) ebenfalls. Was die Therapeutin angeht muss man echt Glück haben in welche Gruppe man kommt (von dem was mir erzählt würde, ich war bei meiner zufrieden). Das Essen dort fand ich immer sehr gut und lecker, es gab ausreichend zur Auswahl. Die unterschiedlichen Therapien empfand ich ebenfalls als hilfreich. Gut fand ich auch immer die Kreativsngebote, Der Schwerpunkt dort liegt natürlich auf der Essstörungs Diagnostik, sollten also Komorbitäten vorliegen sollte man nach der Stabilisierung im Anschluss noch wo anders hin.  Was sehr auffällig ist und nicht gerade für die Klinik spricht ist, dass immer die gleichen Patienten dort sind. In jedem Aufenthalt waren mindestens 10 Leute, die man vom Voraufenthalt kannte. Einige kommen in sehr kurzen Abständen immer wieder und bei manchen, so entsteht der Eindruck, könnte man fast glauben, dass manche sich in ihren Rückfällen und den darauf folgenden Anmeldungen absprechen um zeitgleich und wieder zusammen da zu sein. Ich persönlich finde die Klinik (für mich) als sehr hilfreich aber einige Patienten scheinen diese für irgendwas anderes zu nutzen, jedenfalls nicht zum Gesundwerden. Bei einzelnen ist das wirklich extrem auffällig.  Wer wirklich etwas ändern und sich nicht selbst belügen und in der Erkrankung bleiben will, der kann die Klinik und das Konzept (bei dem man trotz strenger Regeln noch viel mitreden kann) gut für sich nutzen."
MediClin Seepark Klinik,0,"Ich soll in diese Klinik, weil es mir schlecht geht. Ich warte mittlerweile seit Monaten, und wurde bis jetzt nicht angerufen oder angeschrieben, wie es weiter gehen soll. Als ich selbst anrief, wurde ich wie eine nervige Person abgewimmelt, weil sie sich melden werden. Aber es war schon vor zwei Monaten! So geht man nicht mit kranken Menschen um, und wenn ich die anderen Kritiken hier lese, da bin ich eigentlich froh, das mein Telefon schweigt."
MediClin Seepark Klinik,0,"Als erstes, wenn möglich sucht euch eine andere Klinik aus.  In dieser Klinik werden die corona Maßnahmen nicht eingehalten man lebt hier in einer ständigen Gefahr sich infizieren zu lassen.  Das organisatorische in dieser klinik ist ein gutes Beispiel von fauler arroganter inkompotenter ignoranz.  Die therapi Stunden sind viel zu kurz(30min) davon gehen schon 10 min flöten für organisatorische Sachen die man klären muss.   Man kommt hier mit keinen körperlichen Schmerzen her und geht mit welchen. Die Betten sind sauber unbequem auf Rückfrage nach Massage wird nr Wartezeit von 3 Wochen angeschlagen obwohl, man Patient ist. Die gruppentherapien sind überbelegt wo es heißt tut mir leid die Gruppen sind voll 2 wochen Wartezeit.  Die erste Woche kann man sich schenken auf der Reha.  Die Jugendlichen in diesem Haus benehmen sich wie sonst was, vor 22 Uhr keine Chance das man ein Auge zu kriegt, da laute Musik von außen kommt. Sobald man im zimmer ist hört man dennoch dad getrammpel von oben. Die Badezimmer stinken wie im Stall da die Abläufe nicht fachgerecht verbaut worden sind. Auf Verbesserung vorschlagen wird man  ausgelacht oder es wird runtergespielt. Jegliche Beschwerden werden missachtet und runtergespielt.  Das Essen in der Kantine ist unteraller sau, ich habe noch nie in meinen leben so schlechtes essen gegessen.  Der Reis ist hart, dass Gemüse wird tot gekocht. Bananen und Gemüse tüten gibt es nur auf ärztlicher Anweisung, wieso weiß keiner. Das fleisch(wenn man es als Fleisch definieren kann) ist zäh wie sonst was und wird vor ausgabe in warmen Wasser gehalten um es saftiger zu machen was aber nix bringt.   Alles im ganzen brauche ich nach dieser Reha eine neue Reha um mich von hier zu entspannen. Therapie ziele können hier nicht erreicht werden und wenn es nicht klappt hat man selber schuld. Ich kann diese klinik keinen empfehlen.   Das einzig gute in dieser klinik sind die sport Therapeuten! Nett, zuvorkommen und hilfsbereit."
